# timestamp tx ty tz qx qy qz qw
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1 0.004808 -0.000403 0.000480 0.000019 -0.000019 -0.000016 1.000000
2 0.009616 -0.000805 0.000960 0.000074 -0.000077 -0.000065 1.000000
3 0.014424 -0.001208 0.001440 0.000166 -0.000173 -0.000145 1.000000
4 0.019232 -0.001610 0.001919 0.000294 -0.000305 -0.000256 1.000000
5 0.024041 -0.002013 0.002399 0.000457 -0.000475 -0.000398 1.000000
6 0.028849 -0.002416 0.002879 0.000654 -0.000680 -0.000569 0.999999
7 0.033657 -0.002818 0.003359 0.000886 -0.000920 -0.000770 0.999999
8 0.038465 -0.003221 0.003838 0.001151 -0.001195 -0.001000 0.999998
9 0.043273 -0.003624 0.004318 0.001448 -0.001504 -0.001258 0.999997
10 0.048081 -0.004026 0.004798 0.001778 -0.001846 -0.001544 0.999996
11 0.052889 -0.004429 0.005278 0.002139 -0.002222 -0.001856 0.999993
12 0.057697 -0.004831 0.005757 0.002532 -0.002629 -0.002195 0.999991
13 0.062506 -0.005234 0.006238 0.002954 -0.003069 -0.002559 0.999988
14 0.067314 -0.005636 0.006717 0.003407 -0.003539 -0.002949 0.999984
15 0.072115 -0.006068 0.007232 0.003888 -0.004040 -0.003363 0.999979
16 0.076900 -0.006573 0.007833 0.004399 -0.004571 -0.003801 0.999973
17 0.081685 -0.007077 0.008434 0.004937 -0.005131 -0.004263 0.999966
18 0.086470 -0.007581 0.009034 0.005502 -0.005721 -0.004747 0.999957
19 0.091255 -0.008085 0.009635 0.006095 -0.006338 -0.005253 0.999948
20 0.096040 -0.008589 0.010236 0.006713 -0.006983 -0.005780 0.999936
21 0.100825 -0.009093 0.010836 0.007357 -0.007655 -0.006328 0.999924
22 0.105610 -0.009597 0.011437 0.008026 -0.008354 -0.006896 0.999909
23 0.110395 -0.010101 0.012038 0.008719 -0.009078 -0.007484 0.999893
24 0.115180 -0.010605 0.012638 0.009437 -0.009828 -0.008090 0.999874
25 0.119965 -0.011109 0.013239 0.010177 -0.010603 -0.008715 0.999854
26 0.124749 -0.011613 0.013840 0.010940 -0.011402 -0.009357 0.999831
27 0.129535 -0.012117 0.014441 0.011724 -0.012225 -0.010016 0.999806
28 0.134319 -0.012621 0.015042 0.012530 -0.013071 -0.010691 0.999779
29 0.139101 -0.013137 0.015656 0.013357 -0.013939 -0.011382 0.999749
30 0.143861 -0.013731 0.016364 0.014204 -0.014829 -0.012088 0.999716
31 0.148621 -0.014324 0.017071 0.015071 -0.015741 -0.012809 0.999680
32 0.153381 -0.014918 0.017779 0.015956 -0.016673 -0.013543 0.999642
33 0.158141 -0.015512 0.018486 0.016860 -0.017625 -0.014290 0.999600
34 0.162901 -0.016106 0.019194 0.017781 -0.018598 -0.015050 0.999556
35 0.167661 -0.016699 0.019901 0.018720 -0.019589 -0.015821 0.999508
36 0.172421 -0.017293 0.020609 0.019675 -0.020598 -0.016604 0.999456
37 0.177181 -0.017886 0.021316 0.020646 -0.021626 -0.017398 0.999401
38 0.181941 -0.018480 0.022024 0.021632 -0.022670 -0.018201 0.999343
39 0.186701 -0.019073 0.022731 0.022633 -0.023731 -0.019014 0.999281
40 0.191461 -0.019667 0.023439 0.023648 -0.024808 -0.019836 0.999216
41 0.196221 -0.020261 0.024146 0.024676 -0.025901 -0.020666 0.999146
42 0.200981 -0.020855 0.024854 0.025717 -0.027008 -0.021503 0.999073
43 0.205727 -0.021491 0.025612 0.026770 -0.028130 -0.022348 0.998996
44 0.210461 -0.022164 0.026414 0.027835 -0.029265 -0.023199 0.998915
45 0.215196 -0.022836 0.027215 0.028911 -0.030413 -0.024055 0.998830
46 0.219931 -0.023508 0.028016 0.029997 -0.031574 -0.024917 0.998740
47 0.224665 -0.024181 0.028818 0.031094 -0.032746 -0.025784 0.998647
48 0.229400 -0.024853 0.029619 0.032199 -0.033929 -0.026655 0.998550
49 0.234134 -0.025526 0.030420 0.033313 -0.035123 -0.027529 0.998448
50 0.238869 -0.026198 0.031222 0.034434 -0.036326 -0.028406 0.998343
51 0.243603 -0.026871 0.032023 0.035563 -0.037538 -0.029286 0.998233
52 0.248338 -0.027543 0.032825 0.036699 -0.038759 -0.030167 0.998119
53 0.253072 -0.028216 0.033626 0.037841 -0.039988 -0.031050 0.998000
54 0.257807 -0.028888 0.034427 0.038989 -0.041224 -0.031933 0.997878
55 0.262541 -0.029561 0.035229 0.040141 -0.042466 -0.032817 0.997752
56 0.267262 -0.030271 0.036075 0.041297 -0.043714 -0.033701 0.997621
57 0.271972 -0.031012 0.036959 0.042458 -0.044968 -0.034583 0.997486
58 0.276682 -0.031754 0.037843 0.043621 -0.046225 -0.035464 0.997348
59 0.281391 -0.032495 0.038726 0.044787 -0.047487 -0.036344 0.997205
60 0.286101 -0.033237 0.039610 0.045954 -0.048752 -0.037221 0.997059
61 0.290810 -0.033978 0.040493 0.047123 -0.050019 -0.038095 0.996908
62 0.295520 -0.034719 0.041377 0.048293 -0.051287 -0.038966 0.996754
63 0.300229 -0.035461 0.042261 0.049462 -0.052557 -0.039833 0.996596
64 0.304939 -0.036202 0.043144 0.050631 -0.053827 -0.040696 0.996435
65 0.309649 -0.036944 0.044028 0.051799 -0.055097 -0.041554 0.996270
66 0.314358 -0.037685 0.044911 0.052965 -0.056365 -0.042407 0.996102
67 0.319068 -0.038427 0.045795 0.054129 -0.057632 -0.043254 0.995930
68 0.323773 -0.039178 0.046691 0.055290 -0.058896 -0.044095 0.995756
69 0.328459 -0.039980 0.047646 0.056447 -0.060157 -0.044930 0.995578
70 0.333144 -0.040781 0.048601 0.057600 -0.061414 -0.045757 0.995398
71 0.337830 -0.041583 0.049556 0.058748 -0.062666 -0.046577 0.995215
72 0.342516 -0.042384 0.050511 0.059891 -0.063913 -0.047389 0.995029
73 0.347202 -0.043185 0.051466 0.061028 -0.065153 -0.048193 0.994841
74 0.351887 -0.043987 0.052422 0.062159 -0.066387 -0.048987 0.994650
75 0.356573 -0.044788 0.053377 0.063282 -0.067612 -0.049773 0.994458
76 0.361258 -0.045590 0.054332 0.064398 -0.068830 -0.050550 0.994264
77 0.365944 -0.046391 0.055287 0.065505 -0.070038 -0.051316 0.994068
